libzip 1.11.2-1
licenses 20240728-1
linux 6.12.6.arch1-1
linux-api-headers 6.10-1
linux-firmware 20241210.b00a7f7e-1
linux-firmware-whence 20241210.b00a7f7e-1
linux-headers 6.12.6.arch1-1
lld 18.1.8-1
llvm 18.1.8-5
llvm-libs 18.1.8-5
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
localsearch 3.8.2-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.4-1
lua 5.4.7-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.0-1
man-pages 6.9.1-1
md4c 0.5.2-1
mdadm 4.3-2
mesa 1:24.3.2-1
mesa-utils 9.0.0-5
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.10-1
mtdev 1.1.7-1
nano 8.2-1
nasm 2.16.03-1
nautilus 47.1-2
ncurses 6.5-3
neofetch 7.1.0-2
nettle 3.10-1
network-manager-applet 1.36.0-1
networkmanager 1.50.1-1
nm-connection-editor 1.36.0-1
nodejs 23.4.0-1
npth 1.8-1
nspr 4.36-1
nss 3.107-1
nvidia-dkms 565.77-2
nvidia-prime 1.0-5
nvidia-prime-rtd3pm 1.1-1
nvidia-utils 565.77-2
nwg-look 0.2.7-1
ocl-icd 2.3.2-2
oniguruma 6.9.9-1
opencl-nvidia 565.77-2
opencore-amr 0.1.6-2
opengl-man-pages 20240713-1
openjpeg2 2.5.3-1
openssh 9.9p1-2
openssl 3.4.0-1
opus 1.5.2-1
orc 0.4.40-1
os-prober 1.81-2
osinfo-db 20240701-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-1
pacman-mirrorlist 20240717-1
pahole 1:1.28-3
pam 1.7.0-1
pambase 20230918-2
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.54.0-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pax 20201030-3
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.1-1
perl 5.40.0-1
perl-alien-build 2.84-1
perl-alien-libxml2 0.19-4
perl-capture-tiny 0.48-9
perl-clone 0.47-1
perl-dbi 1.645-1
perl-error 0.17029-7
perl-ffi-checklib 0.31-5
perl-file-chdir 0.1011-6
perl-file-which 1.27-5
perl-mailtools 2.22-1
perl-path-tiny 0.146-2
perl-timedate 2.33-7
perl-xml-libxml 2.0210-2
perl-xml-namespacesupport 1.12-6
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
pinentry 1.3.1-5
pipewire 1:1.2.7-1
pixman 0.44.2-1
pkgconf 2.3.0-1
playerctl 2.4.1-4
polkit 125-1
polkit-qt6 0.200.0-1
poppler 24.12.0-1
poppler-data 0.4.12-2
poppler-glib 24.12.0-1
popt 1.19-2
portaudio 1:19.7.0-3
posix 2017-4
power-profiles-daemon 0.23-2
procps-ng 4.0.5-1
protonup-qt 2.10.2-2
psmisc 23.7-1
pugixml 1.14-1
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
pulseaudio-bluetooth 17.0+r43+g3e2bb8a1e-1
pulseaudio-jack 17.0+r43+g3e2bb8a1e-1
pyside6 6.8.1.1-2
python 3.13.1-1
python-autocommand 2.2.2-7
python-build 1.2.2-3
python-cachetools 5.5.0-2
python-cairo 1.27.0-2
python-charset-normalizer 3.4.0-5
python-coverage 7.6.9-1
python-gobject 3.50.0-2
python-idna 3.10-2
python-iniconfig 2.0.0-6
python-inputs 0.5-4
python-installer 0.7.0-10
python-jaraco.collections 5.0.1-2
python-jaraco.context 5.3.0-3
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-more-itertools 10.5.0-1
python-nose 1.3.7-18
python-packaging 24.2-3
python-platformdirs 4.3.6-2
python-pluggy 1.5.0-3
python-psutil 6.1.1-1
python-pyaml 24.9.0-2
python-pycryptodomex 3.21.0-2
python-pyproject-hooks 1.2.0-3
python-pytest 1:8.3.4-1
python-pyxdg 0.28-4
python-requests 2.32.3-4
python-setuptools 1:75.2.0-4
python-six 1.16.0-10
python-steam 1.6.1-1
python-urllib3 1.26.20-4
python-vdf 4.0-2
python-wheel 0.45.0-3
python-yaml 6.0.2-2
python-zstandard 0.23.0-2
python311 3.11.9-2
python311-debug 3.11.9-2
qpdf 11.9.1-1
qqc2-desktop-style 6.9.0-1
qt5-base 5.15.16+kde+r130-3
qt5-declarative 5.15.16+kde+r22-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r59-3
qt6-base 6.8.1-1
qt6-declarative 6.8.1-1
qt6-svg 6.8.1-1
qt6-tools 6.8.1-1
qt6-translations 6.8.1-1
qt6-wayland 6.8.1-1
rav1e 0.7.1-1
re2 1:20240702-2
readline 8.2.013-1
rhash 1.4.4-1
rog-control-center 6.0.12.r16.g207e199-1
rtkit 0.13-3
rubberband 4.0.0-1
rust 1:1.83.0-1
s-nail 14.9.24-2
sbc 2.0-2
sdbus-cpp 2.1.0-2
sddm 0.21.0-4
sdl2 2.30.10-1
seatd 0.9.1-1
sed 4.9-3
shaderc 2024.3-2
shadow 4.16.0-1
shared-mime-info 2.4-1
sharutils 4.15.2-5
shiboken6 6.8.1.1-2
slang 2.3.3-3
slurp 1.5.0-1
snappy 1.2.1-2
sndio 1.10.0-1
sonnet 6.9.0-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-13
spdlog 1.15.0-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.4.rc1-1
sqlite 3.47.2-1
srt 1.5.4-1
startup-notification 0.12-8
steam 1.0.0.81-2
sudo 1.9.16.p2-2
supergfxctl 5.2.4-1
svt-av1 2.2.1-1
swaync 0.10.1-3
switcheroo-control 2.6-4
systemd 257.1-1
systemd-libs 257.1-1
systemd-sysvcompat 257.1-1
tar 1.35-2
tdb 1.4.12-2
texinfo 7.1.1-1
time 1.9-5
tinysparql 3.8.2-2
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-1
tpm2-tss 4.1.3-1
tree 2.1.3-1
tslib 1.23-1
ttf-font-awesome 6.7.2-1
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-monaspice-huhanme-nerd-font-bin 1.000_3.1.1-3
ttf-nerd-fonts-symbols 3.3.0-1
ttf-nerd-fonts-symbols-common 3.3.0-1
tzdata 2024b-2
uchardet 0.0.8-3
udisks2 2.10.1-5
unrar 1:7.1.2-1
unzip 6.0-21
upower 1.90.6-1
usbutils 018-1
util-linux 2.40.2-2
util-linux-libs 2.40.2-2
v4l-utils 1.28.1-2
vapoursynth R70-2
vid.stab 1.1.1-2
vim 9.1.0954-1
vim-runtime 9.1.0954-1
visual-studio-code-bin 1.96.2-1
visual-studio-code-bin-debug 1.96.2-1
vmaf 3.0.0-1
volume_key 0.3.12-10
volumeicon 0.5.1-7
vulkan-headers 1:1.4.303-1
vulkan-icd-loader 1.4.303-1
vulkan-intel 1:24.3.2-1
vulkan-mesa-layers 1:24.3.2-1
wasi-compiler-rt 18.1.8-2
wasi-libc 1:0+410+574b88da-1
wasi-libc++ 18.1.8-4
wasi-libc++abi 18.1.8-4
waybar 0.11.0-4
wayland 1.23.1-1
wayland-protocols 1.39-1
webex-bin 44.10.2.31237-1
