ncurses 6.5-3
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.50.2-1
ninja 1.12.1-2
nm-connection-editor 1.36.0-1
npth 1.8-1
nspr 4.36-1
nss 3.107-1
nvidia-dkms 570.86.16-2
nvidia-prime 1.0-5
nvidia-prime-rtd3pm 1.1-1
nvidia-utils 570.86.16-2
nwg-look 1.0.2-1
ocl-icd 2.3.2-2
oh-my-zsh-git r7470.2b547d113-1
oniguruma 6.9.10-1
opencore-amr 0.1.6-2
openjpeg2 2.5.3-1
openssh 9.9p1-2
openssl 3.4.0-1
opus 1.5.2-1
orc 0.4.40-1
os-prober 1.81-2
osinfo-db 20240701-1
ostree 2025.1-1
otf-fira-mono 2:3.206-4
otf-fira-sans 1:4.301-2
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-1
pacman-contrib 1.11.0-1
pacman-mirrorlist 20250101-1
pahole 1:1.28-3
pam 1.7.0-1
pambase 20230918-2
pango 1:1.56.1-1
pangomm 2.46.4-1
parted 3.6-2
patch 2.7.6-10
pax 20201030-3
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.1-1
perl 5.40.1-1
perl-alien-build 2.84-1
perl-alien-libxml2 0.19-4
perl-capture-tiny 0.50-2
perl-clone 0.47-1
perl-dbi 1.647-1
perl-error 0.17029-7
perl-ffi-checklib 0.31-5
perl-file-chdir 0.1011-6
perl-file-which 1.27-6
perl-mailtools 2.22-1
perl-path-tiny 0.146-2
perl-timedate 2.33-7
perl-xml-libxml 2.0210-2
perl-xml-namespacesupport 1.12-6
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
pinentry 1.3.1-5
pipewire 1:1.2.7-1
pipewire-audio 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
pixman 0.44.2-1
pkgconf 2.3.0-1
playerctl 2.4.1-4
polkit 126-2
polkit-qt6 0.200.0-1
pop-icon-theme 3.5.1-1
pop-launcher 1.2.4-1
poppler 25.01.0-1
poppler-data 0.4.12-2
poppler-glib 25.01.0-1
popt 1.19-2
portaudio 1:19.7.0-3
posix 2017-4
power-profiles-daemon 0.23-2
procps-ng 4.0.5-2
protobuf 29.2-1
psmisc 23.7-1
pugixml 1.15-1
pulse-native-provider 1:1.2.7-1
python 3.13.1-1
python-attrs 23.2.0-4
python-beautifulsoup4 4.12.3-3
python-blinker 1.8.2-2
python-charset-normalizer 3.4.1-1
python-click 8.1.7-4
python-decorator 5.1.1-5
python-distro 1.9.0-3
python-flask 3.1.0-1
python-flask-cors 5.0.0-3
python-gobject 3.50.0-2
python-idna 3.10-2
python-installer 0.7.0-10
python-itsdangerous 2.1.2-5
python-jinja 1:3.1.5-1
python-jsonschema 4.23.0-2
python-jsonschema-specifications 2024.10.1-1
python-mako 1.3.8-1
python-markdown 3.7-2
python-markupsafe 2.1.5-3
python-orjson 3.10.15-1
python-packaging 24.2-3
python-ply 3.11-14
python-protobuf 29.2-1
python-pyaml 24.9.0-2
python-pyqt6 6.8.0-3
python-pyqt6-sip 13.10.0-1
python-pyqt6-webengine 6.8.0-2
python-pysocks 1.7.1-10
python-referencing 0.35.1-3
python-requests 2.32.3-4
python-rpds-py 0.22.3-1
python-send2trash 1.8.3-2
python-soupsieve 2.6-2
python-tqdm 4.67.1-2
python-urllib3 2.3.0-1
python-waitress 3.0.2-1
python-werkzeug 3.1.3-1
python-yaml 6.0.2-2
qpdf 11.9.1-1
qt6-base 6.8.2-1
qt6-declarative 6.8.2-1
qt6-positioning 6.8.2-1
qt6-svg 6.8.2-1
qt6-translations 6.8.2-1
qt6-wayland 6.8.2-1
qt6-webchannel 6.8.2-1
qt6-webengine 6.8.2-1
rav1e 0.7.1-1
rdfind 1.6.0-4
re2 1:20240702-2
readline 8.2.013-1
rhash 1.4.4-1
rog-control-center 6.1.0.rc7.r3.g5c2bcad7-1
rtkit 0.13-3
rubberband 4.0.0-1
rust 1:1.84.1-1
rust-bindgen 0.71.1-1
s-nail 14.9.24-2
sbc 2.0-2
sdbus-cpp 2.1.0-2
sddm 0.21.0-6
sdl2-compat 2.30.52-1
sdl3 3.2.2-1
seatd 0.9.1-1
sed 4.9-3
serd 0.32.4-1
shaderc 2024.4-1
shadow 4.16.0-1
shared-mime-info 2.4-1
sharutils 4.15.2-5
slang 2.3.3-3
slurp 1.5.0-1
snappy 1.2.1-2
sndio 1.10.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
spdlog 1.15.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-llvm-translator 19.1.4-1
spirv-tools 2024.4.rc2-1
sqlite 3.48.0-2
sratom 0.6.16-1
srt 1.5.4-1
startup-notification 0.12-8
sudo 1.9.16.p2-2
supergfxctl 5.2.4-1
svt-av1 2.3.0-1
swaync 0.10.1-3
switcheroo-control 2.6-4
systemd 257.2-2
systemd-libs 257.2-2
systemd-sysvcompat 257.2-2
tar 1.35-2
tdb 1.4.12-2
texinfo 7.1.1-1
time 1.9-5
tinysparql 3.8.2-2
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-1
tpm2-tss 4.1.3-1
tree 2.2.1-1
tslib 1.23-1
ttf-kanjistrokeorders 4.004-2
tzdata 2025a-1
uchardet 0.0.8-3
